,gain_type,depth,train_accuracy,test_accuracy
0,IG,1,0.8808,0.8752
1,IG,2,0.8808,0.8752
2,IG,3,0.8808,0.8752
3,IG,4,0.8826,0.8754
4,IG,5,0.883,0.8756
5,IG,6,0.908,0.885
6,IG,7,0.9316,0.8776
7,IG,8,0.9526,0.8648
8,IG,9,0.9708,0.858
9,IG,10,0.9792,0.8532
10,IG,11,0.9814,0.8528
11,IG,12,0.982,0.8526
12,IG,13,0.982,0.8526
13,IG,14,0.982,0.8526
14,IG,15,0.982,0.8526
15,IG,16,0.982,0.8526
16,GI,1,0.8808,0.8752
17,GI,2,0.8808,0.8752
18,GI,3,0.8808,0.8752
19,GI,4,0.8922,0.884
20,GI,5,0.8962,0.887
21,GI,6,0.9096,0.887
22,GI,7,0.931,0.8786
23,GI,8,0.9544,0.8664
24,GI,9,0.9712,0.8604
25,GI,10,0.9796,0.8546
26,GI,11,0.9814,0.8546
27,GI,12,0.982,0.8544
28,GI,13,0.982,0.8544
29,GI,14,0.982,0.8544
30,GI,15,0.982,0.8544
31,GI,16,0.982,0.8544
32,ME,1,0.8808,0.8752
33,ME,2,0.8808,0.8752
34,ME,3,0.8808,0.8752
35,ME,4,0.894,0.8886
36,ME,5,0.8988,0.8876
37,ME,6,0.912,0.8892
38,ME,7,0.9342,0.8814
39,ME,8,0.955,0.871
40,ME,9,0.9696,0.8656
41,ME,10,0.9756,0.8624
42,ME,11,0.9784,0.8618
43,ME,12,0.9808,0.8614
44,ME,13,0.9818,0.861
45,ME,14,0.982,0.8608
46,ME,15,0.982,0.8608
47,ME,16,0.982,0.8608
